Ref,Val,Package,PosX,PosY,Rot,Side
"A1","AS5147","TSSOP14_as5147",-143.916400,-93.766640,0.000000,bottom
"G***","LOGO","daedalus",-143.910000,-85.750000,180.000000,bottom
"C1","10nF, 10V","C_0402_1005Metric",126.695200,-82.539840,180.000000,top
"C2","10uF, 10V","C_0402_1005Metric",130.632200,-85.376880,270.000000,top
"C3","10uF, 10V","C_0402_1005Metric",128.630680,-82.550000,0.000000,top
"C4","10uF, 10V","C_0402_1005Metric",128.630680,-81.544160,0.000000,top
"C5","4u7, 10V","C_0402_1005Metric",156.189841,-80.496151,270.000000,top
"C6","0.1uF, 10V","C_0402_1005Metric",157.523341,-82.828151,90.000000,top
"C7","0.1uF, 10V","C_0402_1005Metric",144.919760,-93.590400,0.000000,top
"C8","0.1uF, 10V","C_0402_1005Metric",144.505841,-91.989652,90.000000,top
"C9","0.1uF, 10V","C_0402_1005Metric",155.110340,-80.478652,270.000000,top
"C10","0.1uF, 10V","C_0402_1005Metric",155.444760,-92.615400,180.000000,top
"C11","0.1uF, 10V","C_0402_1005Metric",144.551400,-99.606000,270.000000,top
"C12","1uF, 10V","C_0402_1005Metric",147.094760,-77.337040,0.000000,top
"C13","10nF, 10V","C_0402_1005Metric",145.159760,-77.337040,0.000000,top
"C15","0.47uF, 50V","C_0402_1005Metric",131.282440,-93.786960,90.000000,top
"C16","47nF, 50V","C_0402_1005Metric",133.979920,-96.078040,90.000000,top
"C17","1uF, 10V","C_0402_1005Metric",132.933440,-86.410800,180.000000,top
"C18","0.1uF, 50V","C_0402_1005Metric",131.282440,-91.856560,270.000000,top
"C19","2.2uF, 10V","C_0603_1608Metric",142.788640,-88.666320,90.000000,top
"C20","2.2uF, 10V","C_0603_1608Metric",157.797500,-91.440000,270.000000,top
"C21","1uF, 50V","C_0402_1005Metric",135.768080,-96.070280,270.000000,top
"C22","22uF, 10V","C_0402_1005Metric",129.804160,-91.059000,0.000000,top
"C23","0.1uF, 10V","C_0402_1005Metric",152.831700,-95.338900,180.000000,top
"C24","0.1uF, 10V","C_0402_1005Metric",160.629700,-96.888300,0.000000,top
"C25","12pF, 10V","C_0402_1005Metric",153.944320,-77.800200,90.000000,top
"C26","12pF, 10V","C_0402_1005Metric",148.651121,-76.998852,270.000000,top
"C27","0.1uF, 10V","C_0402_1005Metric",139.194400,-85.211920,0.000000,top
"C28","10uF, 50V","C_0805_2012Metric",151.056340,-99.357180,90.000000,top
"C29","10uF, 50V","C_0805_2012Metric",162.079940,-99.367580,90.000000,top
