Item #,Designator,Qty,Manufacturer,Mfg Part #, Description/Value,Package/Footprint,Type,Your Instructions/Notes,Digi-Key/Mouser Link
1,A1,1,ams,AS5147P-HTSM,AS5147,TSSOP-14,SMD,,https://www.digikey.com/en/products/detail/ams/AS5147P-HTSM/5304218
2,C13 C1,1,KEMET,C0402C104K8PAC7411,100 nF,402,SMD,,https://www.mouser.com/ProductDetail/KEMET/C0402C104K8PAC7411/?qs=w264VPOu2mXgtn%2FkJQ6rTA%3D%3D
3,C10 C9 C8 C7 C6 C27 C23 C24 C11 ,9,"CAL-CHIP ELECTRONICS, INC.",GMC04X5R104M10NT,"0.1uF, 6.3V",402,SMD,,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC04X5R104M10NT/13909506
4,C12 C17 ,2,"CAL-CHIP ELECTRONICS, INC.",GMC04X5R104K10NT,"1uF, 6.3V",402,SMD,,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC04X5R104K10NT/13908671
5,C15 ,1,"CAL-CHIP ELECTRONICS, INC.",GMC04X5R474K50NT,"0.47uF, 50V",402,SMD,,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC04X5R474K50NT/13909555
6,C16 ,1,TDK Corporation,C1005X7R1H473K050BE,"47nF, 50V",402,SMD,,https://www.mouser.com/ProductDetail/TDK/C1005X7R1H473K050BE/?qs=nQSIdc08i%252Bc6nSgqnAmgRA%3D%3D
7,C18 ,1,TDK Corporation,CGA2B3X7R1H104K050BB,"0.1uF, 50V",402,SMD,,https://www.digikey.com/en/products/detail/tdk-corporation/CGA2B3X7R1H104K050BB/2672792
8,C2 C3 C4 ,3,Murata Electronics,GRJ155R60J106ME11D,"10uF, 6.3V",402,SMD,,https://www.digikey.com/en/products/detail/murata-electronics/GRJ155R60J106ME11D/5877374
9,C20 C19 ,2,Samsung Electro-Mechanics,CL10A225KP8NNNC,"2.2uF, 6.3V",603,SMD,,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A225KP8NNNC/3886743
10,C21 ,1,"CAL-CHIP ELECTRONICS, INC.",GMC04X5R105K50NT,"1uF, 50V",402,SMD,,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC04X5R105K50NT/13909681?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbRACYBmADgHYaQBdAgBwBcoQBlNgJwEsAdgHMQAXwJgAbAhDJI6bPiKkQlAJxgArNSasOkbnyGiJFAAyx1s%2BYtwFikMmACtAMT0h2nAKqD%2BbADyKACyOGhYAK68OOIEALTkNlB8kcqOZFqe3obiZklO4JEonjLQIPwAJpzxYOZJ%2BpwgBGwAniyxhpVYyGJiQA
11,C22 ,1,"CAL-CHIP ELECTRONICS, INC.",GMC04X5R226M6R3NT,"22uF, 6.3V",402,SMD,,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC04X5R226M6R3NT/13907633
12,C25 C26 ,2,KEMET,C0402C120J8GAC7867,"12pF, 6.3V",402,SMD,,https://www.digikey.com/en/products/detail/kemet/C0402C120J8GAC7867/2196270?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbRAHZYBWMKkAXQIAcAXKEAZRYCcBLAOwDmIAL4EwANgQhkkdNnxFSIAMwBOWgA4GzNpE48BwsSAC0AJmmyeAV0XFIZOoxCt2ok5cfhzTFAxEgA
13,C28 C29 C30 C31 C32 C33 C34 C35 C36 C37 C38 C39 C40 C41 C42 C43 ,16,Venkel,C0805X5R500-106KNE,"10uF, 50V",805,SMD,,https://www.digikey.com/en/products/detail/venkel/C0805X5R500-106KNE/12327514?s=N4IgjCBcpgLFoDGUBmBDANgZwKYBoQB7KAbRACYBmADgHYaQBdAgBwBcoQBlNgJwEsAdgHMQAXwJgAbAhDJI6bPiKkQlAJyVy6pqw6RufIaIkgAtOVny%2BAV2XFIZAKy6Q7TuNOXH4AAw2UJjEgA
14,C5 ,1,"CAL-CHIP ELECTRONICS, INC.",GMC04X5R475M10NT,"4u7, 6.3V",402,SMD,,https://www.digikey.com/en/products/detail/cal-chip-electronics-inc/GMC04X5R475M10NT/13909825
15,D3 D2 D1 ,3,Micro Commercial Co,B5819W-TP,B5819W,SOD-123,SMD,,https://www.digikey.com/en/products/detail/micro-commercial-co/B5819W-TP/3774959
16,D4 ,1,Diodes Incorporated,B0520LW-7-F,"500mA, 20V",SOD-123,SMD,,https://www.digikey.com/en/products/detail/diodes-incorporated/B0520LW-7-F/717687
17,D6 ,1,OSRAM Opto Semiconductors Inc.,LB Q39G-L2OO-35-1,Blue,603,SMD,,https://www.digikey.com/en/products/detail/osram-opto-semiconductors-inc/LB-Q39G-L2OO-35-1/2176322
18,D7 D5 ,2,Kingbright,APT1608CGCK,Green,603,SMD,,https://www.digikey.com/en/products/detail/kingbright/APT1608CGCK/1747514
19,F1 ,1,Littelfuse Inc.,Littelfuse Inc.,250mA,603,SMD,,https://www.digikey.com/en/products/detail/littelfuse-inc/0467-250NR/552309
20,FB2 FB1 ,2,TDK Corporation,MPZ2012S601AT000,600 @ 100MHz,805,SMD,,https://www.digikey.com/en/products/detail/tdk-corporation/MPZ2012S601AT000/765065
21,J1 J2 ,2,JST Sales America Inc.,S3B-PH-SM4-TB(LF)(SN),CAN Bus,SMD 3POS 2MM,SMD,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/S3B-PH-SM4-TB-LF-SN/926656
22,J9 ,1,Molex,475890001,USB_B_Micro,,SMD/Thru-hole,,https://www.digikey.com/en/products/detail/molex/0475890001/1832253
23,L1 ,1,Taiyo Yuden,LBMF1608T100M,10uH,603,SMD,,https://www.digikey.com/en/products/detail/taiyo-yuden/LBMF1608T100M/4970765
24,L2 ,1,Taiyo Yuden,CBMF1608T220K,22uH,603,SMD,,https://www.digikey.com/en/products/detail/taiyo-yuden/CBMF1608T220K/1007995
25,Q1 ,1,Alpha & Omega Semiconductor Inc.,AO3401A,AO3401A,SOT-23,SMD,,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AO3401A/1855773
26,R1 ,1,Yageo,RC0402FR-0747KL,47k ohm,402,SMD,,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0747KL/726616
27,R12 ,1,Yageo,RC0402FR-0722RL,220 ohm,402,SMD,,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0722RL/726562
28,R13 ,1,Yageo,RC0402FR-0754K9L,54.9k ohm,402,SMD,,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0754K9L/5281045
29,R15 R6 R7 R14 ,4,Samsung Electro-Mechanics,RC1005F103CS,10k ohm,402,SMD,,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/RC1005F103CS/3903439
30,R17 R18 R10 ,3,Yageo,RC0402FR-071K5L,1k5 ohm,402,SMD,,https://www.digikey.com/en/products/detail/yageo/RC0402FR-071K5L/726519
31,R19 R20 R21 ,3,"KOA Speer Electronics, Inc.",TLR2BPDTD1L00F75,0.001 ohm,1206,SMD,,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/TLR2BPDTD1L00F75/9845509
32,R2 ,1,Yageo,RC0402FR-07100KL,100K ohm,402,SMD,,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526
33,R3 ,1,Yageo,RC0402FR-0715KL,15k ohm,402,SMD,,https://www.digikey.com/en/products/detail/yageo/RC0402FR-0715KL/726541
34,R4 ,1,Samsung Electro-Mechanics,RC1005F683CS,68K ohm,402,SMD,,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/RC1005F683CS/3903483
35,R5 ,1,Panasonic Electronic Components,ERJ-2GEJ274X,270 ohm,402,SMD,,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-2GEJ274X/146952
36,U11 U8 U12 U9 U13 U10 ,6,Toshiba Semiconductor and Storage,"TPH5900CNH,L1Q",TPH,8-PowerVDFN,SMD,,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/tph5900cnh-l1q/4815260
37,U14 ,1,STMicroelectronics,USBLC6-2SC6,USBLC6-2SC6,SOT-23,SMD,,https://www.digikey.com/en/products/detail/stmicroelectronics/USBLC6-2SC6/1040559
38,U3 ,1,Monolithic Power Systems Inc.,MP2359DJ-LF-Z,MP2359DJ-LF-Z,SOT-23,SMD,,https://www.digikey.com/en/products/detail/monolithic-power-systems-inc/MP2359DJ-LF-Z/9555314?s=N4IgTCBcDaILIAUwGYCsBOAIgKQLQBkAxXALRAF0BfIA
39,U5 ,1,Texas Instruments,DRV8323RHRGZR,DRV8323RH,48-VFQFN,SMD,,https://www.digikey.com/en/products/detail/texas-instruments/DRV8323RHRGZR/7345128
40,U6 ,1,Microchip,MCP2542FD,MCP2542FD,TDFN-8,SMD,,https://www.mouser.com/ProductDetail/Microchip-Technology/MCP2542FD-E-SN/?qs=qdgZG5p0FZ5pNizBl1u80Q%3D%3D
41,U7 ,1,STMicroelectronics,STM32F405RGT6,STM32F405RGTx,64-LQFP,SMD,,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F405RGT6/2754208
